,plant_english_name,plant_infos,plant_water_need,plant_light_need,plant_fertilizer_need,plant_defficulty_level,plant_water_Needs,plant_sunlight_needs,plant_toxicity,plant_humidity,plant_soil,plant_dormancy,plant_flower,plant_growth_pattern,plant_common_issues,plant_yellow_leaves
18,Baby Rubber Plant,"Peperomia fruits and seeds have traveled one of the longest distances ever recorded, over 3000 miles to an island in the middle of the Atlantic ocean, while stuck to a bird's feet! 🦅","Baby Rubber Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Baby Rubber Plant may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Baby Rubber Plant is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Baby Rubber Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Baby Rubber Plant may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Baby Rubber Plant is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Baby Rubber Plant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Baby Rubber Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Baby Rubber Plant to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Baby Rubber Plant bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Baby Rubber Plant grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Baby Rubber Plant, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
19,Zebrina,,"Zebrina needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Zebrina may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Zebrina is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Zebrina prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Zebrina may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Zebrina doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Zebrina does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Zebrina to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,"
                        
                        Zebrina grows along the ground and sends out shoots which will spread across the soil. 
                        
                    ",,
20,Dieffenbachia,Dieffenbachia was cultivated in England before 1759 and upper Amazon indigenous groups are known to have used their calcium oxalates to make poison arrows. Dieffenbachia flowers can generate large amounts of excess heat which botanists believe attracts potential pollinators to the flower's warmth. 🐝,"Dieffenbachia needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Dieffenbachia can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Dieffenbachia is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Dieffenbachia prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Dieffenbachia can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Dieffenbachia is extremely dangerous if consumed. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian immediately. Dieffenbachia is not recommended for homes with children, cats, or dogs.
                    ","
                        
                        Dieffenbachia doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Dieffenbachia does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Dieffenbachia to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Dieffenbachia bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Dieffenbachia grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Dieffenbachia, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
21,String of Pearls,"String of pearls evolved their signature shape as an adaptation to store water in dry environments. In place of leaves, cells in the green pearls perform photosynthesis to feed the plant. Translucent crescents act like windows to allow sunlight to reach cells on the inside of the pearl and increase their ability to capture the sun! 🪟☀️","String of Pearls needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","String of Pearls love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        String of Pearls is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        String of Pearls prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        String of Pearls requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    String of Pearls is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        String of Pearls prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        String of Pearls is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for String of Pearls to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your String of Pearls bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        String of Pearls has long, trailing foliage which makes them a great addition to a hanging planter. The newest growth will emerge from the tip of the stems.
                        
                    ",,
22,Lipstick Echeveria,,"Lipstick Echeveria needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Lipstick Echeveria love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Lipstick Echeveria thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Lipstick Echeveria requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Lipstick Echeveria is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",,,,,
23,Nerve Plant,"The nerve plant is known for its striking, colored veins and powerful ability to cure headaches and snakebites. Its veins come in a variety of colors, including white, pink, and red. This dramatic plant will easily wilt when dry, but quickly recovers once watered. In its natural habitat, nerve plants grow as a ground cover in Ecuador and Peru and are used by indigenous peoples to give strength to their hunting dogs. 🐕","Nerve Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Nerve Plant may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Nerve Plant is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Nerve Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Nerve Plant may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Nerve Plant is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Nerve Plant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Nerve Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Nerve Plant to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Nerve Plant bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Nerve Plant grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Nerve Plant, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
24,Arrowhead Plant,"Syngonium podophyllum is a popular, easy-to-care-for houseplant with beautiful arrowhead shaped leaves. You’ll often see these plants grown in their juvenile stage, but given something to climb on and abundant sunlight you may see them mature into their adult stage! The leaf shape changes as they mature and may even appear to split into three individual leaves. In the wild they can climb up to 65 feet tall. Be sure to handle them with care, as their sap contains oxalic acid which can be very irritating to the skin and eyes. 👀","Arrowhead Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Arrowhead Plant can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Arrowhead Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Arrowhead Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Arrowhead Plant can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Arrowhead Plant is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Arrowhead Plant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Arrowhead Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ","Arrowhead Plant does not have a typical pattern of dormancy. If you notice their growth slowing down substantially, double check that they are getting enough sunlight and water to thrive!","
                        
                        Arrowhead Plant produces flowers in the wild, but does not flower when kept as houseplants.
                        
                    ","
                        
                        Arrowhead Plant is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Arrowhead Plant, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
25,Polka Dot Plant,"The polka dot plant is a small, charismatic houseplant that can be found in a variety of colors ranging from white, to pink, red, and purple. With excellent care, you may be able to get them to blossom! They produce delightful small pink flowers when given enough sunlight. 🌸","Polka Dot Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Polka Dot Plant love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Polka Dot Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Polka Dot Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Polka Dot Plant requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Polka Dot Plant is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Polka Dot Plant doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Polka Dot Plant does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,"
Yes, you may see your Polka Dot Plant bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Polka Dot Plant grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Polka Dot Plant, since they are sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
26,False Christmas Cactus,,"False Christmas Cactus needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","False Christmas Cactus love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        False Christmas Cactus is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        False Christmas Cactus thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        False Christmas Cactus requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        False Christmas Cactus does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",,,"
                        
                        False Christmas Cactus is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,
27,Green Prayer Plant,Green Prayer Plant is a super popular houseplant 🌿 that is easy to grow and needs regular watering to thrive. They do best in moderate sunlight 🌤 and should be less than 6 feet from a window.,"Green Prayer Plant needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Green Prayer Plant can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Green Prayer Plant is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Green Prayer Plant prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Green Prayer Plant can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,"
                        
                        Green Prayer Plant is very sensitive to dry soil, so choose a potting soil that retains moisture. A good soil will still drain well and contain lots of organic matter such as coco coir or sphagnum moss.
                        
                    ",,,,,
28,Dwarf Umbrella Tree,Dwarf Umbrella Tree is a super popular houseplant 🌿 that is easy to grow and needs regular watering to thrive. ,"Dwarf Umbrella Tree needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Dwarf Umbrella Tree may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Dwarf Umbrella Tree is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Dwarf Umbrella Tree prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ",,"
                    Dwarf Umbrella Tree is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ",,,,,"
                        
                        Dwarf Umbrella Tree grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,
29,Golden Barrel Cactus,,"Golden Barrel Cactus needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Golden Barrel Cactus love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Golden Barrel Cactus thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Golden Barrel Cactus requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,,,,,,
30,Pothos 'Jade',,"Pothos 'Jade' needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Pothos 'Jade' can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Pothos 'Jade' prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Pothos 'Jade' can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Pothos 'Jade' doesn’t require additional humidity. Plants absorb most water through their root system rather than their leaves, so the best way to provide humidity for your plants is through watering the soil.
                        
                    ","
                        
                        Pothos 'Jade' does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Pothos 'Jade' to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
31,Florist Kalanchoe,"Florist Kalanchoe is an excellent choice for plant parents looking for the delight of colorful blossoms paired with the ease of a succulent. Though their leaves may resemble those of other tropical plants, Kalanchoe is native to dry regions of sunny Madagascar. 🏜","Florist Kalanchoe needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Florist Kalanchoe love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Florist Kalanchoe is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Florist Kalanchoe thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Florist Kalanchoe requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Florist Kalanchoe is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ","
                        
                        Florist Kalanchoe prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Florist Kalanchoe is very sensitive to wet soil, so choose a potting soil that drains very well and doesn’t retain too much moisture. A good soil will have lots of perlite or vermiculite for drainage and some organic matter for nutrition. A few handfuls of perlite added to regular store-bought cactus soil will do the trick!
                        
                    ",It’s common for Florist Kalanchoe to go dormant in the summertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,"
Yes, you may see your Florist Kalanchoe bloom with the right amount of sunlight and water.
                        
                    ","
                        
                        Florist Kalanchoe grows vertically and new growth will emerge from the top of the plant.
                        
                    ",,"

Yellow leaves aren’t always a reason to panic, and can be a normal part of a plant’s life cycle. Unless brand new leaves are turning yellow or all the leaves change color at once, it’s likely just your plant shedding old leaves.
Overwatering and root rot are the most likely cause of problems in Florist Kalanchoe, since they are very sensitive to wet soil. The leaves may also appear to be curling or drooping. Less often, yellow leaves are caused by underwatering, nutrient deficiencies, or pests.
Replace soggy soil with fresh, dry soil and download Greg to make sure your plant never gets overwatered again!
"
32,Moon Cactus,,"Moon Cactus needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Moon Cactus love being close to bright, sunny windows 😎.",Most potting soils come with ample nutrients which plants use to produce new growth.,,"
                        
                        Moon Cactus thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Moon Cactus requires abundant, bright and direct light. Place it less than one foot from a window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ",,,,,,,
33,Boston Fern,,"Boston Fern needs 0.5 cups of water every 7 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Boston Fern may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Boston Fern is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Boston Fern is sensitive to dry soil and should be watered frequently. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants. 
                        
                    ","
                        
                        Boston Fern may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Boston Fern is not known to cause harm to humans or pets. Regardless, if you, a family member, a cat, or dog has ingested any plant material, please consult a doctor or a veterinarian. 
                    ","
                        
                        Boston Fern enjoys lots of humidity. Provide humidity for your plant by watering regularly and thoroughly, since plants absorb most water through their root system rather than their leaves. They may also benefit from being placed next to a humidifier.
                        
                    ","
                        
                        Boston Fern is very sensitive to dry soil, so choose a potting soil that retains moisture. A good soil will still drain well and contain lots of organic matter such as coco coir or sphagnum moss.
                        
                    ",It’s common for Boston Fern to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,"
",,
34,Satin Pothos,,"Satin Pothos needs 0.5 cups of water every 9 when it doesn’t get direct sunlight and is potted in a 5"" pot.","Satin Pothos may have difficulty thriving, and will drop leaves 🍃, without ample sunlight. ",Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Satin Pothos is generally easy to care for, though some plant parents report facing challenges with growing it. Check out the reviews down below to read more about their experiences!
                        
                    ","
                        
                        Satin Pothos prefers for the soil to dry out between waterings and should be watered regularly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Satin Pothos may have difficulty thriving and will drop leaves 🍃 without ample sunlight. Place it less than 3 feet from a window to maximize the potential for growth. Select your region to see how the current weather in your area affects the placement in your home 🏡. 
                        
                    ","
                    Satin Pothos is not safe to consume. If you, a family member, or a pet has ingested any amount of plant material contact Poison Control, US (800) 222-1222, or your veterinarian. If you have children, cats, or dogs in the home, we suggest keeping this plant out of reach. 
                    ",,,,,"
                        
                        Satin Pothos is a naturally climbing plant and can be trained to climb indoors if you provide a moss pole or trellis. The newest growth will emerge from the end of the stems. 
                        
                    ",,
35,Lucky Bamboo,,"Lucky Bamboo needs 0.5 cups of water every 12 when it doesn’t get direct sunlight and is potted in a 5"" pot.",Lucky Bamboo can tolerate being far from a window and light source. ,Most potting soils come with ample nutrients which plants use to produce new growth.,"
                        
                        Lucky Bamboo is generally considered an easy-to-care-for plant and makes a great choice for beginners!
                        
                    ","
                        
                        Lucky Bamboo thrives in dry soil and should be watered sparingly. Use our water calculator to personalize watering recommendations to your environment or download Greg for more advanced recommendations for all of your plants.
                        
                    ","
                        
                        Lucky Bamboo can tolerate being far from a window and light source. Place it less than 6 feet from a south-facing window to ensure it receives enough light to survive 💪. Select your region to see how the current weather in your area affects the placement in your home 🏡.
                        
                    ","
                    Greg does not have confirmed data on this plant’s toxicity. If you, a family member, or a pet consumes plant material of unknown toxicity, it’s always best to consult a medical professional.
                    ","
                        
                        Lucky Bamboo prefers dry environments. Providing extra humidity or misting your plant allows water to linger on leaves, which can create the perfect environment for harmful types of fungi.
                        
                    ","
                        
                        Lucky Bamboo does best in well-draining soil. A good soil will contain lots of organic matter such as coco coir as well as perlite or vermiculite to help with drainage. Adding a handful of perlite to regular store-bought potting soil should do the trick!
                        
                    ",It’s common for Lucky Bamboo to go dormant in the wintertime and you may notice their growth slow down. Waterings should be spaced out more during this time.,,,,
